Segmento;Sub-Tipo / Categoria;Nome do Campo;Tipo de Campo (Input/Select);Opções Sugeridas (Separadas por Semicolon);Origem do Campo (Atual/Proposto);Justificativa de Engenharia;
11. Final de Linha;Armação / Fechamento / Esteiras;Dimensões Máximas da Caixa (C x L x A)*;Texto;-;Atual;Define os limites de abertura dos guias de caixas e magazines de papelão.;
11. Final de Linha;Armação / Fechamento / Esteiras;Peso Máximo da Caixa/Fardo Final (kg)*;Número;-;Proposto Novo;Não só as dimensões importam; excesso de peso arrebenta motores e roletes de esteiras.;
11. Final de Linha;Paletização;Altura Máxima do Palete Montado (mm)*;Número;-;Proposto Novo;Balizado pelo baú do caminhão da transportadora do cliente. Define a altura da torre do robô paletizador.;
11. Final de Linha;Paletização;Layout / Padrão de Paletização (Mosaico);Texto;-;Proposto Novo;Define o projeto da garra mecânica (garra por ventosas vs garra pneumática lateral).;
12. Projetos Especiais & Customizações;Engenharia sob Medida;Nível de Customização Requerido*;Seleção (Select);"Adaptação de máquina padrão (Alteração de calhas/funis); Retrofit / Upgrade tecnológico (Sensores, CLP, IHM novos); Projeto do Zero (Desenho mecânico CAD e desenvolvimento de IHM dedicado)";Atual;Calcula o multiplicador de horas de engenharia e risco de projeto.;
12. Projetos Especiais;Engenharia sob Medida;Método de Higienização no Fim do Turno*;Seleção (Select);"Pano úmido / Ar comprimido (Limpeza a seco); Lavagem com mangueira de água (Alta pressão)";Proposto Novo;Lavagem pesada exige painéis blindados IP69K (Washdown), aumentando consideravelmente o custo.;
12. Projetos Especiais;Engenharia sob Medida;Exigência de Validação Farmacêutica (IQ/OQ/PQ)*;Seleção (Select);"Não; Sim";Proposto Novo;Documentação técnica de validação consome semanas de engenharia e altera o preço e prazo do projeto.;
12. Projetos Especiais;Engenharia sob Medida;Disponibilidade de Ar Comprimido na Fábrica*;Seleção (Select);"Possui rede com capacidade disponível; Não possui compressor de ar";Proposto Novo;Evita o desgaste de o cliente comprar uma máquina eletropneumática e descobrir na entrega que não tem compressor.;
12. Projetos Especiais;Engenharia sob Medida;Restrições de Instalação Física*;Seleção (Select);"Acesso fácil (Galpão amplo); Portas estreitas, escadas, ausência de empilhadeira";Proposto Novo;Evita que a máquina chegue e não passe pela porta do cliente, exigindo corte ou desmontagem de emergência.;
12. Projetos Especiais;Engenharia sob Medida;Setor de Aplicação / Ambiente*;Seleção (Select);"Alimentício Sanitário (Inox 304, acabamento polido); Farmacêutico Estéril (Inox 316L, solda sanitária orbital, relatórios de validação); Químico Industrial (Materiais anticorrosivos, vedações especiais); Área Classificada ATEX (À prova de explosão)";Atual;Ambiências estéreis ou explosivas alteram o custo de todos os sensores e certificações elétricas.;
12. Projetos Especiais;Engenharia sob Medida;CLP de Preferência do Cliente;Seleção (Select);"Sem preferência (Padrão Tecfag); Siemens (Altamente exigido por multinacionais); Allen Bradley / Rockwell; WEG";Proposto Novo;Muitas multinacionais barram a entrada de máquinas com CLP padrão, exigindo estritamente Siemens ou Allen Bradley.;
12. Projetos Especiais;Engenharia sob Medida;Tensão de Alimentação do Cliente;Seleção (Select);"220V Bifásico / Trifásico; 380V Trifásico; 440V Trifásico";Proposto Novo;Motores elétricos e inversores de frequência precisam vir configurados de fábrica para a voltagem correta.;
13. Seladoras Contínuas;Seladoras de Esteira;Sub-tipo de Seladora*;Seleção (Select);"Horizontal (Mesa); Vertical (Líquidos/Pós); Suporte de Chão (Pedestal); Heavy Duty (Carga Pesada)";Proposto Novo;Define o tipo físico de construção da seladora.;
13. Seladoras Contínuas;Seladoras de Esteira;Tipo de Datador Integrado*;Seleção (Select);"Sem Datador; Relevo (Embossing); Rolo de Tinta Térmica (Ink Roller); Inkjet TIJ (Jato de Tinta Industrial); Gravação a Laser UV (355 nm) de Estado Sólido";Proposto Novo;Define o tipo de codificação de data e lote na selagem.;
13. Seladoras Contínuas;Seladoras de Esteira;Velocidade de Selagem Alvo (m/min)*;Número;-;Proposto Novo;Metros por minuto da esteira contínua.;
13. Seladoras Contínuas;Seladoras de Esteira;Carga Máxima da Esteira (kg)*;Número;-;Proposto Novo;Peso máximo do pacote na esteira para evitar quebra de engrenagens ou motor.;
13. Seladoras Contínuas;Seladoras de Esteira;Tipo de Filme/Embalagem*;Seleção (Select);"PE (Polietileno); PP (Polipropileno); Laminados/Alumínio; Papel Kraft/Plástico; Outros";Proposto Novo;Determina o tipo de material e a caloria necessária para a solda.;
13. Seladoras Contínuas;Seladoras de Esteira;Espessura Média do Filme (mm)*;Seleção (Select);"Fino (0.02 - 0.08 mm); Médio (0.08 - 0.20 mm); Grosso/Pesado (0.20 - 0.50 mm)";Proposto Novo;Espessuras maiores exigem resistências mais potentes ou menor velocidade de esteira.;
Geral (Todos os Projetos);Engenharia Base;Regime de Trabalho (Fadiga/Turnos)*;Seleção (Select);"1 Turno (8h/dia); 2 Turnos (16h/dia); 3 Turnos (24h/dia - Contínuo)";Proposto Engenharia (Zero Erros);Máquinas rodando 24h exigem motores Heavy Duty e rolamentos maiores para evitar fadiga mecânica.;
Geral (Todos os Projetos);Engenharia Base;Integração de Linha (Handshake)*;Seleção (Select);"Isolada (Stand-alone); Trabalhará conectada em linha (Exige troca de sinais)";Proposto Engenharia (Zero Erros);Se for trabalhar conectada com outra esteira do cliente, a elétrica precisará orçar relés de contato seco para evitar encavalamento de produto.;
Geral (Todos os Projetos);Engenharia Base;Quantidade de Formatos Diferentes (SKUs)*;Número;-;Proposto Engenharia (Zero Erros);Se o cliente rodar muitos formatos na mesma máquina, a engenharia precisará desenhar e cotar múltiplos 'Kits de Formato / Peças de Setup' de troca rápida.;
Geral (Todos os Projetos);Upload Mídia;Anexo: Vídeo / Fotos do Produto em Ação*;Arquivo (Upload);-;Proposto Melhorado (UX);Dica de Ouro: Um vídeo de 15s gravado do celular (mostrando viscosidade, fluidez, empedramento) resolve quase todas as dúvidas da Engenharia.;
